scenario,state,abbr,fips,population,foreign_born_share,second_generation_proxy,third_plus_proxy,black_alone_share,old_stock_factor,fertility_factor,average_qualifying_ancestry,any_qualifying_ancestor_share,primary_qualifying_ancestry_share,average_qualifying_ancestry_uncalibrated,any_qualifying_ancestor_share_uncalibrated,primary_qualifying_ancestry_share_uncalibrated
low,Alabama,AL,01,5024279,0.037,0.042352867111974175,0.9206471328880258,0.26,0.8648,1.03,0.45639642196579333,0.6806870960192551,0.39134946635591544,0.3789981309894969,0.4960896164384011,0.3453391311839495
low,Alaska,AK,02,733391,0.08,0.07848622226457344,0.8415137777354266,0.03,0.4416,1.07,0.2917157262376441,0.439003271993211,0.24782271527035638,0.242244920650577,0.31994871959810806,0.21868659225736167
low,Arizona,AZ,04,7151502,0.135,0.11928571858562126,0.7457142814143787,0.05,0.5704,1.06,0.32598854426710705,0.49592899291928755,0.27378339586638917,0.27070556002404506,0.36143659152171204,0.2415951168695416
low,Arkansas,AR,05,3011524,0.05,0.053888666858134066,0.8961113331418659,0.15,0.9384,1.04,0.5626090215340055,0.8419331505982943,0.48075097645927967,0.4671985961695358,0.613606892490977,0.4242298477425111
low,California,CA,06,39538223,0.267,0.20584031860735083,0.5271596813926491,0.055,0.4416,0.96,0.1733673905829302,0.27268156006479466,0.14033176139504785,0.14396676626527383,0.19873226822349252,0.12383317909932957
low,Colorado,CO,08,5773714,0.1,0.09382561857725158,0.8061743814227484,0.04,0.7176,0.98,0.43961496752417184,0.6641474307018276,0.3719518983812069,0.36506257066835,0.4840353902435357,0.32822210446651623
low,Connecticut,CT,09,3605944,0.155,0.13322532699376627,0.7117746730062338,0.11,0.8464,0.92,0.40610968203202635,0.6210324340506566,0.339177255235944,0.3372393013160228,0.45261287279534634,0.2993007240592781
low,Delaware,DE,10,989948,0.1,0.09382561857725158,0.8061743814227484,0.22,0.8096,0.98,0.3800660133562447,0.5750609524100007,0.3210510218213457,0.31561226552613497,0.41910852868835474,0.2833055631170068
low,District of Columbia,DC,11,689545,0.14,0.12280720997971671,0.7371927900202833,0.44,0.5060000000000001,0.88,0.11951132985749578,0.18408389570625835,0.09903293682645391,0.0992439214421689,0.13416165775356645,0.0873897917395885
low,Florida,FL,12,21538187,0.21,0.16986224986394183,0.6201377501360582,0.15,0.5704,0.92,0.21747949858266358,0.3377624965867581,0.17857547031963328,0.18059809307080874,0.2461637195106482,0.15758063590883226
low,Georgia,GA,13,10711908,0.105,0.09756024349740267,0.7974397565025974,0.31,0.7360000000000001,1.02,0.2909460560456828,0.44127949373130176,0.2451427251844011,0.24160577549037784,0.3216076462555722,0.216321684349135
low,Hawaii,HI,15,1455271,0.185,0.15348248390601385,0.6615175160939861,0.02,0.276,1.02,0.14563507985410776,0.24014170738425328,0.12098676045413753,0.12093745790879544,0.1750169912193355,0.10676253919302406
low,Idaho,ID,16,1839106,0.06,0.062350858362369206,0.8776491416376307,0.01,0.6992,1.08,0.4929654794255837,0.7389586345540169,0.4205055229688029,0.40936560050122517,0.5385583298458427,0.37106735652995654
low,Illinois,IL,17,12812508,0.14,0.12280720997971671,0.7371927900202833,0.14,0.7912,0.95,0.37860747263615363,0.5773321792416078,0.31717718472617323,0.31440107240480064,0.4207638150223044,0.2798871668962276
low,Indiana,IN,18,6785528,0.055,0.058158284541000915,0.886841715458999,0.095,0.92,1.0,0.5802134197422754,0.8690608462436863,0.495332026549948,0.48181754079094913,0.6333777507991232,0.43709662693336754
low,Iowa,IA,19,3190369,0.055,0.058158284541000915,0.886841715458999,0.04,0.9660000000000001,1.0,0.6514486726289493,0.9756272800357579,0.5562238079163349,0.5409723159058099,0.7110441287491197,0.4908294582800358
low,Kansas,KS,20,2937880,0.075,0.0745367490736329,0.8504632509263671,0.06,0.8648,1.03,0.550699470852386,0.8280522265814875,0.46824901830979065,0.4573087345667277,0.6034903759423608,0.4131977249555693
low,Kentucky,KY,21,4505836,0.04,0.04507849720262359,0.9149215027973764,0.08,1.0120000000000002,1.03,0.6753769075256538,1.0,0.5787695433075715,0.5608426651619842,0.7345482424067802,0.5107245273711277
low,Louisiana,LA,22,4657757,0.045,0.049532636765459374,0.9054673632345406,0.32,0.7176,1.02,0.3357150522951733,0.5020312313476579,0.28708160637251845,0.2787825917146391,0.36588394646504757,0.25332987788825573
low,Maine,ME,23,1362359,0.04,0.04507849720262359,0.9149215027973764,0.02,1.0672,0.92,0.7420824689142648,1.0,0.6359865350010792,0.6162359195262429,0.8070323866381047,0.5612146082300217
low,Maryland,MD,24,6177224,0.155,0.13322532699376627,0.7117746730062338,0.29,0.7176,0.96,0.2452023629860549,0.3768084050980332,0.20370464865898066,0.2036195570632413,0.27462065646468653,0.17975541666395511
low,Massachusetts,MA,25,7029917,0.18,0.1501548762566976,0.6698451237433025,0.075,0.8280000000000001,0.89,0.3915898944843438,0.6018365354771753,0.32527594593859677,0.32518186160334095,0.4386227648350224,0.2870337696163167
low,Michigan,MI,26,10077331,0.07,0.07053422004273803,0.8594657799572619,0.135,0.874,0.94,0.49821029819913254,0.7486204964161923,0.4239176283032108,0.4137209731923428,0.5455999637673882,0.37407830605970727
low,Minnesota,MN,27,5706494,0.09,0.08624132967542593,0.8237586703245741,0.07,0.874,0.98,0.525783544337916,0.7929375178576171,0.4456772611968203,0.4366181920331503,0.5778985254665024,0.39327969347523706
low,Mississippi,MS,28,2961279,0.025,0.030950911486460918,0.9440490885135391,0.37,0.782,1.04,0.3581546495185864,0.5322546902213532,0.30823668396814785,0.2974167549081185,0.38791101912115844,0.2719977866119628
low,Missouri,MO,29,6154913,0.045,0.049532636765459374,0.9054673632345406,0.115,0.9660000000000001,0.99,0.6052873404614216,0.9046590552752548,0.5178930379877292,0.5026392839768488,0.6593219797519595,0.45700517609047503
low,Montana,MT,30,1084225,0.025,0.030950911486460918,0.9440490885135391,0.006,0.6992,1.02,0.5205889774734747,0.7734065324966526,0.44817459287000266,0.4323045492476887,0.56366420386257,0.3954834178301609
low,Nebraska,NE,31,1961504,0.075,0.0745367490736329,0.8504632509263671,0.05,0.874,1.04,0.5649381296567569,0.8494277567343569,0.48037607582155145,0.4691327209411393,0.6190690149627257,0.4238990235772991
low,Nevada,NV,32,3104614,0.19,0.1567921506166238,0.6532078493833763,0.09,0.4232,0.98,0.19471818619213815,0.3001054569915668,0.1612467912619945,0.16169677299095114,0.2187190001407137,0.1422892621245429
low,New Hampshire,NH,33,1377529,0.065,0.06647404727910695,0.8685259527208931,0.018,1.058,0.9,0.6993555827496848,1.0,0.5959421033328829,0.5807549007890046,0.7647986597643875,0.5258781367897537
low,New Jersey,NJ,34,9288994,0.235,0.18585563202128721,0.5791443679787128,0.13,0.6624,0.95,0.24508306501425645,0.3832225196115981,0.19971348382205978,0.20352049031738972,0.27929530892605237,0.17623348673767106
low,New Mexico,NM,35,2117522,0.095,0.09005344274488154,0.8149465572551184,0.02,0.47840000000000005,1.02,0.30679192193201976,0.462987423374491,0.2598659338598395,0.25476440966407443,0.33742854039818265,0.22931390876574312
low,New York,NY,36,20201249,0.225,0.17950123907969553,0.5954987609203045,0.155,0.7176,0.92,0.2577863200574028,0.402355140953538,0.2104962107428996,0.21406945539932065,0.2932392999881595,0.18574850558082967
low,North Carolina,NC,37,10439388,0.085,0.08238659933697404,0.832613400663026,0.205,0.8280000000000001,1.0,0.41679784790821994,0.6285013090882083,0.3533399547081279,0.3461149074685327,0.4580562422587519,0.31179833744939134
low,North Dakota,ND,38,779094,0.045,0.049532636765459374,0.9054673632345406,0.035,0.7544,1.08,0.5319095475853586,0.7948752394333465,0.45517700664019123,0.4417053129426792,0.5793107507883716,0.40166256893544994
low,Ohio,OH,39,11799448,0.05,0.053888666858134066,0.8961113331418659,0.12,0.9568000000000001,0.97,0.5863560320383361,0.8774046598226832,0.5010814549058423,0.4869184540925319,0.6394587817195639,0.4421701041293813
low,Oklahoma,OK,40,3959353,0.06,0.062350858362369206,0.8776491416376307,0.07,0.7912,1.06,0.5169187999102719,0.77498845227571,0.4408650641575537,0.4292567811892492,0.5648171182942059,0.3890332587985767
low,Oregon,OR,41,4237256,0.1,0.09382561857725158,0.8061743814227484,0.02,0.6624,0.92,0.40981144249946866,0.6190433384945164,0.34678186069087386,0.34031329627086626,0.45116320574968666,0.30601126812940543
low,Pennsylvania,PA,42,13002700,0.075,0.0745367490736329,0.8504632509263671,0.11,0.9568000000000001,0.94,0.5579732057350965,0.8391720656997994,0.4743259047119552,0.46334894827827816,0.6115945940997505,0.4185601614754609
low,Rhode Island,RI,44,1097379,0.145,0.1263036316409768,0.7286963683590232,0.055,0.7912,0.9,0.42127038109456016,0.6422398521953205,0.3530053736090908,0.3498289631377476,0.4680689905836253,0.31150309251874675
low,South Carolina,SC,45,5118425,0.055,0.058158284541000915,0.886841715458999,0.26,0.7912,1.0,0.39523171116800904,0.592313708704704,0.337220814737398,0.32820607838087507,0.4316824606797179,0.297574299162696
low,South Dakota,SD,46,886667,0.04,0.04507849720262359,0.9149215027973764,0.025,0.7176,1.08,0.5164964749393638,0.7707194096121195,0.44264980145141547,0.4289060764796133,0.5617058095152895,0.39060816736352993
low,Tennessee,TN,47,6910840,0.055,0.058158284541000915,0.886841715458999,0.165,0.9568000000000001,1.0,0.5501933926828237,0.8242621562884849,0.46960568671443664,0.4568884800003739,0.600728145647522,0.4143948920107022
low,Texas,TX,48,29145505,0.17,0.14344340092170968,0.6865565990782903,0.12,0.6256,1.08,0.29534937553495205,0.4533397881806936,0.24567795342590976,0.24526235511340508,0.3303972749741453,0.21679398665640226
low,Utah,UT,49,3271616,0.09,0.08624132967542593,0.8237586703245741,0.015,0.6624,1.18,0.44774530150867486,0.6750468583551181,0.3796470061633341,0.3718141165529012,0.4919789709512359,0.3350125106489788
low,Vermont,VT,50,643077,0.045,0.049532636765459374,0.9054673632345406,0.014,1.0856,0.9,0.748942844469219,1.0,0.6409233802386523,0.6219328737267483,0.815657822652198,0.5655710364142947
low,Virginia,VA,51,8631393,0.125,0.11216295608837634,0.7628370439116237,0.19,0.7912,0.98,0.3649915959869147,0.5551372524530986,0.30661549380339126,0.3030942532592468,0.404587993882486,0.2705671971999107
low,Washington,WA,53,7705281,0.145,0.1263036316409768,0.7286963683590232,0.04,0.6256,0.92,0.3423144942546063,0.5217616281700889,0.2869073631286962,0.28426286291708563,0.38026360056611536,0.2531761201458559
low,West Virginia,WV,54,1793716,0.018,0.023797944119408086,0.9582020558805919,0.035,1.0856,0.98,0.7858730818727079,1.0,0.6780212740482181,0.6526002722410376,0.8490903579576696,0.5983073897719317
low,Wisconsin,WI,55,5893718,0.055,0.058158284541000915,0.886841715458999,0.065,0.9384,0.95,0.6063655428168913,0.9081633038839718,0.5176989526061645,0.5035346386682624,0.6618759011622076,0.4568339090189515
low,Wyoming,WY,56,576851,0.035,0.04051127126704603,0.924488728732954,0.01,0.6624,1.05,0.4857591624297916,0.7237922791067553,0.416932941684618,0.4033813715693696,0.5275049816913073,0.3679147979529572
central,Alabama,AL,01,5024279,0.037,0.04858452138288944,0.9144154786171105,0.26,0.94,1.03,0.5037657892602135,0.7876083134756221,0.45668471853509784,0.40889929019133264,0.5362883370132732,0.37182789940968275
central,Alaska,AK,02,733391,0.08,0.08335270778022749,0.8366472922197725,0.03,0.48,1.07,0.3229391609117279,0.5091792589930426,0.2901994726751732,0.2621249725307997,0.3467039305895816,0.23627736150386308
central,Arizona,AZ,04,7151502,0.135,0.120223774793981,0.744776225206019,0.05,0.62,1.06,0.36213335953419057,0.5765372552409241,0.3220986179896851,0.2939383277407241,0.39256848937377575,0.2622493104521562
central,Arkansas,AR,05,3011524,0.05,0.059984041693027505,0.8900159583069724,0.15,1.02,1.04,0.6217679347315139,0.9753312065730896,0.5617270640930093,0.5046798980708918,0.6641102459952907,0.45735227347490015
central,California,CA,06,39538223,0.267,0.19378252248673494,0.539217477513265,0.055,0.48,0.96,0.19660890668684142,0.32193889308225343,0.16954120418384733,0.15958456112631608,0.2192105779446163,0.13803866706396747
central,Colorado,CO,08,5773714,0.1,0.09744436321658786,0.8025556367834121,0.04,0.78,0.98,0.4871093089801419,0.7707281332590676,0.4361123789323898,0.39537946985258154,0.5247944972176112,0.35507811666031824
central,Connecticut,CT,09,3605944,0.155,0.1324307719588828,0.7125692280411171,0.11,0.92,0.92,0.45207858569570614,0.723085266393083,0.4000990225798152,0.36694554640785976,0.49235411612341834,0.3257564203131675
central,Delaware,DE,10,989948,0.1,0.09744436321658786,0.8025556367834121,0.22,0.88,0.98,0.42055948542511695,0.6665130885375744,0.3758827164317718,0.34136195577333145,0.4538337010081087,0.3060397582900287
central,District of Columbia,DC,11,689545,0.14,0.12332364342869569,0.7366763565713043,0.44,0.55,0.88,0.13270648753309788,0.2139069255507509,0.11646409365254234,0.1077159063058955,0.14565081070945918,0.09482384135467689
central,Florida,FL,12,21538187,0.21,0.1637986161163232,0.6262013838836769,0.15,0.62,0.92,0.24432119766026536,0.3960459816472313,0.2130860683782321,0.19831192675605716,0.26967064369992455,0.1734924379617858
central,Georgia,GA,13,10711908,0.105,0.10082987557261995,0.7941701244273801,0.31,0.8,1.02,0.3217634887926276,0.5111542641717165,0.2868558920128471,0.26117069674382376,0.3480487262510058,0.23355505325985734
central,Hawaii,HI,15,1455271,0.185,0.14989147448643586,0.665108525513564,0.02,0.3,1.02,0.1626532492884049,0.2612031661819549,0.1433276023717995,0.13202325286719382,0.1778551714318058,0.11669582789693607
central,Idaho,ID,16,1839106,0.06,0.06814948796887144,0.8718505120311285,0.01,0.76,1.08,0.5455168984862829,0.8570076426636578,0.49207038947938564,0.4427880521739814,0.5835428545231881,0.40063854089254547
central,Illinois,IL,17,12812508,0.14,0.12332364342869569,0.7366763565713043,0.14,0.86,0.95,0.4207374862725496,0.6713333513271154,0.3733309011354554,0.3415064364461369,0.457115853660818,0.30396209708788824
central,Indiana,IN,18,6785528,0.055,0.06412252337581774,0.8808774766241823,0.095,1.0,1.0,0.6415820628490616,1.0,0.5791360488844075,0.5207627347695156,0.685834295655358,0.47152648597450936
central,Iowa,IA,19,3190369,0.055,0.06412252337581774,0.8808774766241823,0.04,1.05,1.0,0.7206891754404124,1.0,0.650650511801023,0.5849728158772283,0.7702758051155378,0.5297528102732348
central,Kansas,KS,20,2937880,0.075,0.07967087855349178,0.8453291214465083,0.06,0.94,1.03,0.6093975941642087,0.9601255349965838,0.5480429795809495,0.49463907436822585,0.6537565915411511,0.44621083564491343
central,Kentucky,KY,21,4505836,0.04,0.05130961026039921,0.9086903897396008,0.08,1.1,1.03,0.7469136534457209,1.0,0.6767372006701191,0.6062588394036689,0.7955566778239511,0.5509923182555991
central,Louisiana,LA,22,4657757,0.045,0.05571927816268332,0.8992807218373167,0.32,0.78,1.02,0.3701703347439685,0.5803283374092717,0.33462584287989805,0.3004618224452564,0.3951498653150376,0.2724488453332486
central,Maine,ME,23,1362359,0.04,0.05130961026039921,0.9086903897396008,0.02,1.16,0.92,0.8210822207027054,1.0,0.7440141353252242,0.6664603758169004,0.8744678523779366,0.6057684915678394
central,Maryland,MD,24,6177224,0.155,0.1324307719588828,0.7125692280411171,0.29,0.78,0.96,0.2730944584374995,0.43892481585631427,0.2404285492320888,0.22166675981365472,0.29886715965540106,0.19575439858343874
central,Massachusetts,MA,25,7029917,0.18,0.14704405663643205,0.672955943363568,0.075,0.9,0.89,0.43724545072891147,0.7023274764761802,0.3851988260288431,0.3549057086726664,0.47821998314876524,0.3136248368388814
central,Michigan,MI,26,10077331,0.07,0.0759146073202896,0.8540853926797103,0.135,0.95,0.94,0.5508631841500786,0.8674172038033101,0.49569186574825586,0.4471275537036436,0.5906308018405382,0.40358710881952886
central,Minnesota,MN,27,5706494,0.09,0.0905162344217584,0.8194837655782417,0.07,0.95,0.98,0.5821563827611783,0.9196957733396918,0.5220572257629474,0.47252778327994294,0.6262276672346802,0.42505350792061763
